Wall time,Step,Value
1522703096.095253,501,3.5897579193115234
1522703306.5494962,1501,1.8876477479934692
1522703356.529535,1801,2.0116872787475586
1522703506.7316868,2401,1.854034662246704
1522703871.63249,4001,1.6118465662002563
1522703906.351939,4201,1.2999343872070312
1522703940.428968,4401,1.055565595626831
1522703956.658968,4501,1.7803682088851929
1522703989.058548,4701,1.0775470733642578
1522704133.2266219,5301,1.1318382024765015
1522704149.778819,5401,1.3536778688430786
1522704183.078878,5601,1.3554518222808838
1522704382.4781709,6501,1.783569097518921
1522704505.3324008,7101,2.777452230453491
1522704521.6990101,7201,1.4871940612792969
1522704538.046177,7301,0.912126362323761
1522704554.8055658,7401,1.2758893966674805
1522704637.409638,7901,0.9231727123260498
1522704813.158535,8701,1.3048386573791504
1522704952.6910841,9401,1.1602216958999634
1522705136.854259,10201,1.59406316280365
1522705185.649722,10501,1.2546143531799316
1522705202.2972171,10601,0.9273555278778076
1522705357.380357,11301,1.2221168279647827
1522705439.1254332,11801,0.9717108011245728
1522705609.9570649,12601,1.275720238685608
1522705718.979779,13001,1.2622771263122559
1522705866.930159,13901,0.917322039604187
1522705948.3629508,14101,1.1888089179992676
1522705964.8417568,14201,1.15335214138031
1522706124.623343,15001,1.1387519836425781
1522706207.596736,15501,0.98340904712677
1522706256.3591712,15801,0.9303741455078125
1522706450.383358,16701,0.9948546886444092
1522706467.128185,16801,1.0479300022125244
1522706662.265815,17701,0.9614992141723633
1522706678.731627,17801,1.1261861324310303
1522706797.33435,18301,1.1243605613708496
1522706830.482335,18501,0.9751739501953125
1522706846.826732,18601,1.0961277484893799
1522706946.954583,19001,0.7094367742538452
1522707078.193082,19801,1.3982657194137573
1522707243.192266,20601,1.0271278619766235
1522707259.548587,20701,0.9698504209518433
1522707276.074396,20801,1.0652790069580078
1522707385.2192051,21201,0.8514261245727539
1522707612.143868,22301,1.0518916845321655
1522707711.50558,22901,0.8783553242683411
1522707822.164615,23401,0.8083521723747253
1522707871.179213,23701,1.0019060373306274
1522708108.039936,24901,0.7767584919929504
1522708229.623425,25501,0.8049880862236023
1522708364.825731,26001,0.9777237176895142
1522708414.851041,26301,0.9034979939460754
1522708480.6270761,26701,1.2915771007537842
1522708603.810441,27101,1.3197200298309326
1522708636.370848,27301,0.8292626142501831
1522709046.019375,29201,0.9531542658805847
1522709127.295626,29701,1.1353009939193726
1522709143.543838,29801,1.055253028869629
1522709251.832177,30301,1.4289041757583618
1522709316.813857,30701,0.7764172554016113
1522709333.04598,30801,1.2157440185546875
1522709418.329317,31001,1.0240881443023682
1522709549.15662,31801,0.8277227282524109
1522709565.50594,31901,0.8576684594154358
1522709710.30608,32501,0.6712263822555542
1522709726.866695,32601,0.8170812129974365
1522709743.386731,32701,0.8461537957191467
1522709813.593816,33001,0.7991988062858582
1522709961.6613288,33901,0.9852440357208252
1522710123.511202,34701,0.9289580583572388
1522710491.1532228,36301,0.8858742117881775
1522710556.649712,36701,1.004199743270874
1522710678.6336582,37301,1.1577192544937134
1522710743.550336,37701,0.5371160507202148
1522710776.82153,37901,0.7844910621643066
